Product(original_price=349.0, new_price=179.0, offer_percentage=0, item_name='5MP 3K Outdoor Smart Camera Wi-Fi 6, Pan & Tilt 360 View, Auto Tracking, Two way talk, Call button, Human detection, Privacy Mode, Night Vision', item_link='https://minutes.noon.com/saudi-en/now-product/ZE6E8CFAAB42D8F35D106Z-1')
Product(original_price=249.0, new_price=109.0, offer_percentage=0, item_name='Tune 510Bt Wireless On-Ear Headphones - Pure Bass - 40H Battery - Speed Charge - Fast Usb Type-C - Foldable', item_link='https://minutes.noon.com/saudi-en/now-product/Z9318709A3EF144CD4086Z-1')
Product(original_price=149.0, new_price=7.05, offer_percentage=0, item_name='50-Piece Waterproof Self Adhesive Cool Vinyl Decal Graffiti Sticker Set', item_link='https://minutes.noon.com/saudi-en/now-product/ZA65BD1BC95EE8F68D914Z-1')
Product(original_price=649.0, new_price=369.0, offer_percentage=0, item_name='Galaxy Tab A9 Navy 4GB RAM 64GB WiFi - Middle East Version', item_link='https://minutes.noon.com/saudi-en/now-product/Z61A9EC75DEA3A8502FD2Z-1')
Product(original_price=159.0, new_price=83.0, offer_percentage=0, item_name='Tapo C200 Pan/Tilt 1080p Full HD Home Security Wi-Fi Camera Live View And Two-Way Audio Night Vision Motion Detection Baby Monitor MicroSD Card Support Works With Google Assistant And Amazon Alexa Remote Management By App', item_link='https://minutes.noon.com/saudi-en/now-product/ZB854FA2FCBF9459C31A4Z-1')
|Product(original_price=399.0, new_price=189.0, offer_percentage=0, item_name='5MP 3K Outdoor Smart Camera || Wi-Fi 6 || Pan & Tilt 360 View || Auto Tracking || Two way talk || Call button || Human detection || Privacy Mode || Night Vision || Model DH-P5AE-PV || White', item_link='https://minutes.noon.com/saudi-en/now-product/ZBF64B23CF826EBCEC6C4Z-1')|
Product(original_price=15.0, new_price=4.5, offer_percentage=0, item_name='Kajal Pencil', item_link='https://minutes.noon.com/saudi-en/now-product/Z6822ACB2FCF7D997B504Z-1')
Product(original_price=399.0, new_price=193.0, offer_percentage=0, item_name='C6W Pan & Tilt Wi-Fi Camera 4MP 4mm (83°), 360° Panoramic View, 2K Resolution, Privacy Shutter, MicroSD Card up to 256 GB, Auto-Zoom Tracking, True-WDR, Two-Way Talk, EZVIZ Cloud Play Storage, Person Detection, Infrared Night Vision up to 10m (33 ft.) - CS-C6W-A0-3H4WF Black', item_link='https://minutes.noon.com/saudi-en/now-product/Z4EABD8656FAC0A04E4A1Z-1')
Product(original_price=649.0, new_price=369.0, offer_percentage=0, item_name='Galaxy Tab A9 Silver 4GB RAM 64GB WiFi - Middle East Version', item_link='https://minutes.noon.com/saudi-en/now-product/ZDC39E2448271A8A9CB05Z-1')
Product(original_price=499.0, new_price=110.75, offer_percentage=0, item_name='Paradiso Azzuro EDP', item_link='https://minutes.noon.com/saudi-en/now-product/ZAB8FDDF27F5A5BE84E85Z-1')
Product(original_price=18.0, new_price=9.5, offer_percentage=0, item_name='Olive Tape Diaper Size 1 Newborn 0-4 Kg Saving Pack', item_link='https://minutes.noon.com/saudi-en/now-product/Z3B5F14FCC533DF34380CZ-1')
Product(original_price=399.0, new_price=159.0, offer_percentage=0, item_name='Galaxy Buds FE', item_link='https://minutes.noon.com/saudi-en/now-product/Z109BD1FE1C1B321C5BEDZ-1')
Product(original_price=199.0, new_price=65.0, offer_percentage=0, item_name='Kigo Power Bank Portable Charger – Simultaneous Charging for Smartphones, Tablets, Gaming Devices, Bluetooth & More – Compact, Travel-Friendly Design for On-the-Go Power Anywhere -', item_link='https://minutes.noon.com/saudi-en/now-product/ZD211D4EFBDB1AF686350Z-1')
Product(original_price=61.0, new_price=29.95, offer_percentage=0, item_name='Daily Care Pants Xlarge Size 5 Diapers 12-17Kg', item_link='https://minutes.noon.com/saudi-en/now-product/Z9E69BF2F9C45C0AEF609Z-1')
Product(original_price=49.0, new_price=29.0, offer_percentage=0, item_name='Promate 2.4G Wireless Mouse, Professional Precision Tracking Comfort Grip Mouse with USB Nano Receiver, 10m Range, 800/1200/1600 DPI Switch and 4 Functional Buttons for Mac OS, Windows, Tracker', item_link='https://minutes.noon.com/saudi-en/now-product/Z68932D50E8915B815FF3Z-1')
Product(original_price=49.0, new_price=29.0, offer_percentage=0, item_name='1600DPI Portable 2.4Ghz Precision Tracking EZGrip Ergonomic Mouse with 10m Range, Nano USB Receiver, Adjustable DPI Switch and 6 Programmable Buttons', item_link='https://minutes.noon.com/saudi-en/now-product/Z805BFD63740C88437D7AZ-1')
Product(original_price=45.0, new_price=25.0, offer_percentage=0, item_name='Shiny Drops Kids Shampoo', item_link='https://minutes.noon.com/saudi-en/now-product/Z0972E9E5BDD671B82EF5Z-1')
Product(original_price=149.0, new_price=75.0, offer_percentage=0, item_name='3MP 2K Indoor Smart Camera Wi-Fi 6, Pan & Tilt 360 View, Auto Tracking, Two way talk, Call button, Human detection, Privacy Mode, Night Vision', item_link='https://minutes.noon.com/saudi-en/now-product/Z41349BF4505B412986AAZ-1')
Product(original_price=69.0, new_price=35.0, offer_percentage=0, item_name='Premium Eco Friendly Large Pant Diapers Size 4  (9-14Kg)', item_link='https://minutes.noon.com/saudi-en/now-product/Z5E80C87E5E3E362C30F6Z-1')
Product(original_price=75.5, new_price=38.5, offer_percentage=0, item_name='Premium Eco Friendly Large Diapers Size 4  (9-14Kg)', item_link='https://minutes.noon.com/saudi-en/now-product/Z9ACE307C789906D083F7Z-1')
Product(original_price=49.0, new_price=29.0, offer_percentage=0, item_name='2.4G Wireless Mouse, Professional Precision Tracking Comfort Grip Mouse with USB Nano Receiver, 10m Range, 800/1200/1600 DPI Switch and 4 Functional Buttons for Mac OS, Windows, Tracker', item_link='https://minutes.noon.com/saudi-en/now-product/Z4C6604F024016261427AZ-1')
Product(original_price=89.0, new_price=29.0, offer_percentage=0, item_name='LP40 Wireless Bluetooth Earbuds', item_link='https://minutes.noon.com/saudi-en/now-product/Z31489C7DC4520C557EA2Z-1')
Product(original_price=3.6, new_price=1.5, offer_percentage=0, item_name='Superior Sweet Flour For Sweets', item_link='https://minutes.noon.com/saudi-en/now-product/Z70DF7BB289DA985353ECZ-1')
Product(original_price=40.0, new_price=23.05, offer_percentage=0, item_name='SkinActive Micellar Cleansing Water', item_link='https://minutes.noon.com/saudi-en/now-product/ZADA0B7C267FCD4028DBCZ-1')
Product(original_price=99.0, new_price=49.0, offer_percentage=0, item_name='Kigo Power Bank Portable Charger – Simultaneous Charging for Smartphones, Tablets, Gaming Devices, Bluetooth & More – Compact, Travel-Friendly Design for On-the-Go Power Anywhere -', item_link='https://minutes.noon.com/saudi-en/now-product/Z9DD35AAAD85BF016AC6DZ-1')
Product(original_price=73.1, new_price=37.8, offer_percentage=0, item_name='Lash Sensational Sky High Mascara', item_link='https://minutes.noon.com/saudi-en/now-product/Z141431ACE4423273A804Z-1')
